iter	RMSE
0	77398.12009
1	75312.85265
2	73332.14071
3	71284.01914
4	69526.32655
5	67899.55557
6	66317.78974
7	64505.57436
8	63145.48456
9	61618.67975
10	60183.8013
11	58798.55428
12	57448.24872
13	56065.58897
14	54755.6559
15	53659.97079
16	52399.77678
17	51290.04776
18	50282.99818
19	49265.94787
20	48297.95611
21	47342.03546
22	46407.89369
23	45415.84959
24	44503.55723
25	43752.88267
26	42997.09133
27	42197.86265
28	41479.83657
29	40735.59848
30	40073.80094
31	39449.96153
32	38856.61495
33	38235.05741
34	37722.40035
35	37230.91947
36	36688.50806
37	36203.85444
38	35724.63682
39	35262.21601
40	34726.11166
41	34249.44362
42	33784.36074
43	33388.99174
44	33010.55989
45	32601.86785
46	32256.37411
47	31953.06627
48	31591.11579
49	31327.95321
50	30992.37785
51	30673.65224
52	30334.69226
53	29993.49772
54	29665.26305
55	29399.48385
56	29087.56004
57	28805.68758
58	28517.36053
59	28260.15073
60	28006.88054
61	27773.74219
62	27553.89289
63	27305.06762
64	27062.29048
65	26772.17124
66	26586.01585
67	26410.03603
68	26222.36357
69	26024.81846
70	25812.50549
71	25613.21082
72	25410.30664
73	25246.2924
74	25076.11427
75	24913.44063
76	24776.13128
77	24601.77944
78	24446.19528
79	24269.01817
80	24132.8822
81	24015.64157
82	23856.0403
83	23696.04965
84	23549.42296
85	23430.0434
86	23328.48038
87	23197.80943
88	23036.11672
89	22872.1204
90	22734.79113
91	22640.07442
92	22502.37344
93	22389.81018
94	22293.00505
95	22219.42241
96	22137.17179
97	22044.27491
98	21954.55395
99	21883.66636
100	21790.5255
101	21686.34652
102	21592.13832
103	21496.12358
104	21429.47913
105	21350.05195
106	21253.01521
107	21180.36495
108	21098.81932
109	20990.64997
110	20905.80823
111	20840.8364
112	20762.95616
113	20679.36334
114	20621.82116
115	20541.07766
116	20458.13547
117	20362.52593
118	20271.94675
119	20197.38876
120	20119.99362
121	20051.42794
122	19986.83656
123	19929.548
124	19866.76555
125	19813.24717
126	19746.47829
127	19683.08807
128	19620.59191
129	19572.61216
130	19525.83309
131	19463.62567
132	19423.99609
133	19377.82737
134	19331.08124
135	19294.86178
136	19265.14734
137	19216.47071
138	19182.80403
139	19153.61394
140	19104.74888
141	19055.32444
142	18999.89594
143	18969.07843
144	18932.21943
145	18859.32798
146	18823.29026
147	18795.99134
148	18761.82808
149	18720.63817
150	18677.75483
151	18651.70781
152	18608.59002
153	18580.29793
154	18540.92188
155	18519.01649
156	18474.25125
157	18411.01615
158	18377.37081
159	18321.76787
160	18285.66996
161	18245.92697
162	18203.83338
163	18165.42818
164	18106.67268
165	18083.78845
166	18045.57914
167	18005.22926
168	17973.12613
169	17933.29307
170	17896.17515
171	17861.53802
172	17815.9179
173	17776.21281
174	17744.39878
175	17696.02232
176	17650.80798
177	17606.48132
178	17562.61026
179	17500.13686
180	17458.92343
181	17418.85061
182	17390.46282
183	17353.47606
184	17319.34397
185	17277.30635
186	17244.83531
187	17211.46103
188	17175.02181
189	17130.71293
190	17090.60598
191	17068.06531
192	17039.2275
193	17008.52065
194	16964.50265
195	16919.10399
196	16880.88484
197	16854.70845
198	16818.2206
199	16790.51412
200	16767.07655
201	16746.28044
202	16713.31218
203	16691.58658
204	16647.67841
205	16614.19677
206	16568.58279
207	16537.00154
208	16518.85492
209	16483.8002
210	16444.22727
211	16410.47729
212	16369.95597
