iter	Passed	Remaining
0	14	14568
1	22	11164
2	27	9233
3	32	8088
4	40	8074
5	45	7487
6	50	7150
7	57	7190
8	62	6908
9	67	6709
10	72	6533
11	77	6349
12	87	6640
13	92	6548
14	98	6443
15	103	6362
16	108	6249
17	114	6267
18	121	6247
19	126	6178
20	131	6149
21	136	6065
22	141	6022
23	150	6136
24	162	6342
25	169	6339
26	174	6283
27	179	6220
28	194	6514
29	206	6667
30	212	6634
31	222	6730
32	227	6670
33	232	6600
34	240	6640
35	246	6591
36	251	6539
37	256	6487
38	269	6628
39	274	6578
40	280	6562
41	286	6538
42	299	6664
43	312	6779
44	316	6727
45	327	6783
46	332	6744
47	337	6700
48	347	6743
49	352	6693
50	358	6677
51	364	6640
52	368	6592
53	381	6682
54	392	6748
55	400	6757
56	411	6806
57	416	6770
58	429	6842
59	433	6799
60	440	6777
61	445	6739
62	450	6702
63	456	6671
64	461	6643
65	467	6618
66	472	6577
67	483	6632
68	488	6595
69	495	6578
70	500	6544
71	505	6511
72	514	6527
73	519	6501
74	524	6467
75	534	6493
76	540	6474
77	545	6452
78	559	6526
79	570	6556
80	578	6568
81	591	6619
82	597	6606
83	609	6649
84	615	6627
85	620	6599
86	625	6566
87	638	6617
88	643	6589
89	650	6573
90	655	6545
91	660	6516
92	671	6551
93	677	6525
94	683	6511
95	688	6481
96	698	6505
97	703	6476
98	708	6452
99	719	6471
100	724	6445
101	730	6430
102	736	6410
103	757	6529
104	869	7409
105	880	7428
106	886	7398
107	895	7393
108	900	7359
109	905	7326
110	916	7340
111	922	7310
112	930	7307
113	936	7280
114	951	7324
115	960	7322
116	967	7299
117	980	7325
118	986	7302
119	998	7320
120	1004	7300
121	1012	7284
122	1017	7258
123	1025	7243
124	1036	7256
125	1042	7230
126	1056	7263
127	1071	7302
128	1113	7519
129	1122	7511
130	1140	7565
131	1149	7561
132	1154	7526
133	1162	7514
134	1168	7484
135	1173	7454
136	1182	7448
137	1187	7419
138	1194	7396
139	1199	7368
140	1210	7373
141	1220	7376
142	1237	7419
143	1245	7405
144	1256	7407
145	1332	7794
146	1338	7766
147	1347	7759
148	1354	7735
149	1367	7748
150	1372	7717
151	1378	7693
152	1383	7661
153	1389	7632
154	1402	7646
155	1409	7627
156	1414	7596
157	1420	7567
158	1433	7579
159	1438	7551
160	1444	7529
161	1450	7505
162	1459	7496
163	1465	7470
164	1470	7442
165	1476	7419
166	1482	7394
167	1489	7378
168	1495	7351
169	1507	7359
170	1512	7333
171	1519	7312
172	1528	7306
173	1541	7316
174	1557	7343
175	1562	7314
176	1573	7318
177	1579	7292
178	1585	7273
179	1592	7255
180	1599	7239
181	1615	7261
182	1622	7243
183	1628	7224
184	1633	7198
185	1642	7188
186	1647	7163
187	1652	7138
188	1661	7130
189	1667	7106
190	1672	7085
191	1677	7060
192	1683	7038
193	1694	7038
194	1698	7012
195	1705	6995
